"Employment status (a) by labour force region, Queensland, 1999–00 to 2018–19 (b)(c)(d)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force region,Employment status,Financial year,,,,,,,,,,,,,,,,,,,
,,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19
, ,— persons —,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
Brisbane - East SA4,Full-time,"59,300","57,800","57,800","56,800","65,800","69,200","69,900","69,300","73,200","81,100","82,400","81,200","85,500","83,200","84,500","83,800","86,900","85,700","91,300","92,000"
,Part-time,"21,200","24,000","23,700","26,300","26,300","25,400","26,200","28,200","30,400","34,900","32,700","32,900","33,200","28,800","34,800","36,500","35,200","30,600","34,500","38,200"
,Total,"80,500","81,800","81,500","83,100","92,100","94,500","96,100","97,500","103,500","116,000","115,100","114,200","118,800","112,000","119,300","120,300","122,100","116,300","125,800","130,300"
,,,,,,,,,,,,,,,,,,,,,
Brisbane - North SA4,Full-time,"58,700","57,800","60,900","63,400","67,300","68,300","66,900","69,000","72,400","75,800","73,100","77,800","75,500","76,500","82,300","84,700","81,000","81,800","85,300","90,000"
,Part-time,"20,300","20,300","21,600","21,300","20,700","24,000","26,600","24,400","26,400","27,100","29,000","30,000","32,300","31,300","33,400","32,300","32,600","32,700","35,900","37,400"
,Total,"79,000","78,100","82,500","84,700","88,000","92,300","93,400","93,400","98,700","102,900","102,200","107,800","107,800","107,800","115,700","116,900","113,600","114,500","121,100","127,400"
, ,,,,,,,,,,,,,,,,,,,,
Brisbane - South SA4,Full-time,"94,500","96,500","94,300","103,100","101,200","107,700","114,000","112,400","117,300","127,800","126,700","122,400","128,800","137,600","134,200","134,400","130,700","134,400","138,900","134,600"
,Part-time,"32,200","34,800","40,500","40,500","45,100","42,700","42,300","47,200","49,100","43,600","47,600","50,000","51,400","49,100","53,800","55,000","66,700","60,200","63,400","61,900"
,Total,"126,700","131,200","134,800","143,600","146,400","150,400","156,200","159,600","166,300","171,400","174,300","172,400","180,200","186,800","188,000","189,400","197,400","194,700","202,300","196,500"
, ,,,,,,,,,,,,,,,,,,,,
Brisbane - West SA4,Full-time,"54,000","55,900","53,800","56,300","57,000","61,400","58,800","66,000","67,400","67,600","68,400","65,800","65,400","65,800","60,600","60,300","64,600","60,700","58,100","56,100"
,Part-time,"22,100","21,900","24,300","30,300","28,400","24,600","30,600","27,700","27,600","28,600","29,400","28,900","26,300","31,000","34,100","30,100","31,400","32,500","33,800","31,200"
,Total,"76,100","77,800","78,200","86,600","85,500","86,000","89,400","93,700","95,000","96,200","97,800","94,700","91,700","96,800","94,700","90,400","96,000","93,200","91,800","87,300"
, ,,,,,,,,,,,,,,,,,,,,
Brisbane Inner City SA4,Full-time,"73,700","78,700","80,200","85,000","90,200","97,300","97,400","107,900","112,500","118,100","113,300","111,200","114,800","102,600","111,700","114,100","113,600","110,900","114,000","125,500"
,Part-time,"25,300","24,400","26,300","26,800","28,300","30,200","31,900","34,200","35,100","31,900","36,000","37,000","36,700","40,100","42,100","42,000","47,500","52,900","52,100","50,300"
,Total,"99,000","103,100","106,500","111,800","118,500","127,400","129,300","142,100","147,600","150,000","149,200","148,200","151,500","142,700","153,900","156,200","161,100","163,800","166,100","175,900"
, ,,,,,,,,,,,,,,,,,,,,
Cairns SA4,Full-time,"64,800","69,900","70,200","65,600","72,600","72,500","69,600","78,500","84,800","89,800","82,500","85,900","78,600","83,300","75,800","74,700","73,300","76,400","77,500","82,700"
,Part-time,"23,000","23,600","25,000","27,700","25,900","29,500","29,400","28,200","27,100","29,000","34,300","31,700","33,100","35,100","33,600","32,900","34,200","37,200","37,100","42,400"
,Total,"87,800","93,600","95,300","93,300","98,500","101,900","99,000","106,800","111,900","118,800","116,800","117,600","111,800","118,300","109,400","107,600","107,500","113,600","114,600","125,200"
, ,,,,,,,,,,,,,,,,,,,,
Darling Downs - Maranoa SA4,Full-time,"42,200","42,800","41,400","39,700","40,500","39,900","39,600","40,400","43,700","48,600","43,100","44,600","46,900","44,200","51,500","46,300","46,300","42,900","44,000","44,100"
,Part-time,"13,400","15,000","14,900","15,000","16,500","15,000","16,700","18,900","18,600","17,900","19,800","16,500","16,800","19,500","16,800","17,100","18,200","18,300","18,300","19,900"
,Total,"55,600","57,800","56,300","54,800","57,000","54,900","56,300","59,300","62,300","66,500","62,900","61,100","63,600","63,700","68,300","63,300","64,500","61,200","62,300","64,000"
, ,,,,,,,,,,,,,,,,,,,,
Central Queensland SA4,Full-time,"62,400","64,000","62,100","64,100","65,500","73,300","75,500","74,600","78,300","76,800","73,800","84,200","87,600","83,300","88,700","87,900","84,200","81,100","77,400","82,000"
,Part-time,"20,000","20,200","21,900","24,600","25,000","23,400","23,500","23,800","24,400","25,800","25,700","26,200","25,100","26,100","27,300","27,500","29,600","29,600","31,600","33,100"
,Total,"82,300","84,200","84,000","88,800","90,600","96,700","99,000","98,300","102,700","102,600","99,600","110,500","112,800","109,500","116,000","115,400","113,800","110,700","109,000","115,100"
, ,,,,,,,,,,,,,,,,,,,,
Gold Coast SA4,Full-time,"120,000","130,200","127,100","138,600","142,600","154,700","163,700","180,700","180,700","174,300","174,100","178,900","188,500","190,200","193,800","204,900","209,300","202,300","217,900","225,200"
,Part-time,"50,900","51,400","61,000","61,600","62,500","59,500","64,200","68,500","75,500","84,400","85,700","88,900","90,400","86,200","88,400","91,800","103,900","106,100","111,300","116,600"
,Total,"171,000","181,700","188,000","200,200","205,200","214,200","228,000","249,200","256,100","258,700","259,700","267,800","278,900","276,400","282,200","296,600","313,200","308,400","329,300","341,800"
,,,,,,,,,,,,,,,,,,,,,
Ipswich SA4,Full-time,"73,300","71,400","71,900","74,500","71,600","79,300","79,100","88,900","91,500","96,000","93,300","100,600","102,200","103,100","100,900","100,600","110,700","114,100","114,700","117,700"
,Part-time,"25,200","24,300","23,500","27,000","25,300","28,400","33,500","32,800","30,700","36,100","37,000","36,000","38,000","37,400","43,500","46,100","40,100","41,700","45,100","47,500"
,Total,"98,500","95,800","95,400","101,500","96,900","107,700","112,600","121,700","122,200","132,200","130,300","136,600","140,200","140,500","144,400","146,700","150,800","155,800","159,800","165,200"
,,,,,,,,,,,,,,,,,,,,,
